time,power_mw,label
0,52.6460785189515,0
1,50.600235812550835,0
2,51.46810697615861,0
3,53.361339798802184,0
4,52.80133698522495,0
5,48.534083180185384,0
6,51.42513262628838,0
7,49.772964187553455,0
8,49.845171722309665,0
9,50.61589775290756,0
10,50.21606535674132,0
11,52.181410260444466,0
12,51.14155658772049,0
13,50.182512524739245,0
14,50.665794849118136,0
15,50.5005114910614,0
16,52.24111860973641,0
17,49.6922626043513,0
18,50.469601552476355,0
19,48.71885639104741,0
20,46.170515276248885,0
21,50.98042789316054,0
22,51.29665429828926,0
23,48.88675246939034,0
24,53.40463193598141,0
25,47.81845148810185,0
26,50.06863777595217,0
27,49.71922422496125,0
28,52.299168821537684,0
29,52.20403815485043,0
30,50.23242113854538,0
31,50.56724377940326,0
32,48.66832137855483,0
33,47.02880529766411,0
34,49.47813177601077,0
35,50.23452345365597,0
36,51.84543602109158,0
37,51.80356977317662,0
38,49.41900977388807,0
39,49.546545874136996,0
40,48.42717055239936,0
41,47.86997309423154,0
42,47.440594714062485,0
43,52.92616309284769,0
44,49.23552172737252,0
45,49.34288854758322,0
46,48.12080695992511,0
47,51.166235533747866,0
48,47.579153228663074,0
49,49.68088957967905,0
50,48.656800158209485,0
51,50.580353746788894,0
52,49.233792293646694,0
53,48.22905172381638,0
54,49.95772665749202,0
55,50.64249780579563,0
56,50.09977583357475,0
57,50.453707846609674,0
58,49.04851685947855,0
59,49.455888251019296,0
60,48.99130932833607,0
61,49.46067025768919,0
62,48.78028057693332,0
63,47.41057609650248,0
64,50.266139213380626,0
65,49.397328595687604,0
66,47.55470247955093,0
67,50.694173383288664,0
68,48.63905245342514,0
69,50.07791809369421,0
70,51.093635843266306,0
71,50.193474366136115,0
72,51.70910102681495,0
73,48.14776126946952,0
74,50.60351246176632,0
75,48.97278486358953,0
76,48.693804276227176,0
77,49.13172550285338,0
78,49.53267120180894,0
79,50.08424801334462,0
80,48.252275238824964,0
81,51.35123973043128,0
82,50.69849365959569,0
83,47.69563447058417,0
84,52.2323782906934,0
85,52.843833764045876,0
86,51.76816935673948,0
87,49.73011274628147,0
88,48.39387106773419,0
89,51.58167759039671,0
90,49.39523457954023,0
91,51.83366760557364,0
92,50.31241246711529,0
93,51.46495855472557,0
94,50.534549595761604,0
95,51.05985975228792,0
96,50.01575003108123,0
97,52.67880574085875,0
98,50.19036813905543,0
99,50.602984045167055,0
100,52.824726045584384,0
101,47.97836140828633,0
102,48.0942725022714,0
103,51.454095062237016,0
104,48.24031489232876,0
105,52.91543177847394,0
106,49.37957152886038,0
107,48.878817782838865,0
108,52.88441303972058,0
109,52.22077218715164,0
110,52.80133844063985,0
111,51.35906698741308,0
112,48.70816147241795,0
113,52.86509742964855,0
114,49.59799494357293,0
115,51.20368459369459,0
116,51.42087795166062,0
117,49.76748486036375,0
118,50.92111905551912,0
119,51.38331000734979,0
